# restamp-normalizedname-drift.mjs — mode=APPLY
# project=crcmusiccharts
# started=2026-05-25T23:07:20.184Z

Phase 1: enumerated 625 library_index rows
Phase 1: built stem index — 413 unique stems, 0 orphaned rows excluded, 0 nameless rows excluded
RESTAMP   1D-rUMfhk4pinIQX97bYMi_rsKaNoS9s4 name="Dodi Li.pdf" ext=.pdf siblings=6 diff=[{"field":"normalizedName","was":"dodilipdf","now":"dodili"}]
RESTAMP   1D08wPsT5Fk5nm-uXW9tHf50BvccX5gu3 name="Ve_Imru Amen Full Choir.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"veimruamenfullchoirmp3","now":"veimruamenfullchoir"}]
RESTAMP   1DF0UOysVOpGEGkSswU3FwEvjU_lcRm5_ name="Unetaneh_Tokef_Full Choir.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"unetanehtokeffullchoirmp3","now":"unetanehtokeffullchoir"}]
RESTAMP   1DYQ4IZXCMjtCIzxCD2lkLEofO5q-sf6r name="Niggun - Bonia Full Score.pdf" ext=.pdf siblings=3 diff=[{"field":"normalizedName","was":"niggunboniafullscorepdf","now":"niggunboniafullscore"}]
RESTAMP   1D_ERo9369UkNlZGO3FLYhYPatkY2m4Jm name="Kedusha in Am Full Choir with solo.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"kedushainamfullchoirwithsolomp3","now":"kedushainamfullchoirwithsolo"}]
RESTAMP   1DclXj1fcg3VTtf82HECzbk51-3GeowPH name="Barechu_trad_Soprano.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"barechutradsopranomp3","now":"barechutradsoprano"}]
RESTAMP   1DiSbHUzzXGAAl3je1g40Q-pEM2rR3laa name="Kedusha in Am (Tenor_Bass).mp3" ext=.mp3 siblings=3 diff=[{"field":"normalizedName","was":"kedushainamtenorbassmp3","now":"kedushainamtenorbass"}]
RESTAMP   1DncwbDd_B0LnGRNRmBQCG6D4_7MoV1nI name="Aleinu Shur melody (low voice).mp3" ext=.mp3 siblings=2 diff=[{"field":"normalizedName","was":"aleinushurmelodylowvoicemp3","now":"aleinushurmelodylowvoice"}]
RESTAMP   1Dx-47EpIUtGvo15ItMA_Imb6IijHC6uM name="T'filah Adonai s'fatai - Full Score.pdf" ext=.pdf siblings=3 diff=[{"field":"normalizedName","was":"tfilahadonaisfataifullscorepdf","now":"tfilahadonaisfataifullscore"}]
RESTAMP   1EPzxHjEkvvHnIQm7L98X4hl8DvuJFHQh name="Bina in G.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"binaingpdf","now":"binaing"}]
RESTAMP   1Eas8fNP2KqWkqnSXrrE9mB74xwA962-7 name="Landlocked.pdf" ext=.pdf siblings=1 diff=[{"field":"normalizedName","was":"landlockedpdf","now":"landlocked"}]
RESTAMP   1EhNYnQc4YBzD_vtTZRunaNW2dhS57E0s name="Mi Chamocha Traditional - Full Score.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"michamochatraditionalfullscorepdf","now":"michamochatraditionalfullscore"}]
RESTAMP   1EiJJKn3ZmsWnXVYiEjMHQmR17t0ByDbG name="Mizmor l_David D.pdf" ext=.pdf siblings=2 diff=[{"field":"normalizedName","was":"mizmorldaviddpdf","now":"mizmorldavidd"}]
RESTAMP   1EppZUInFMrBcjl9nU9p-5d7sCJYO6gfz name="Barchu (Siegel).pdf" ext=.pdf siblings=8 diff=[{"field":"normalizedName","was":"barchusiegelpdf","now":"barchusiegel"}]
RESTAMP   1Et48zTFQny12HjkFv25Wz7L7-wAqvZmg name="Mi Chamocha Shur Cantor Choir Descant.mp3" ext=.mp3 siblings=2 diff=[{"field":"normalizedName","was":"michamochashurcantorchoirdescantmp3","now":"michamochashurcantorchoirdescant"}]
RESTAMP   1Exi_bsvw4nK0AUkW12bGwJ2WzZ-B5cS0 name="Avinu Malkeinu Janowski D minor (Tenor).mp3" ext=.mp3 siblings=4 diff=[{"field":"normalizedName","was":"avinumalkeinujanowskidminortenormp3","now":"avinumalkeinujanowskidminortenor"}]
RESTAMP   1FGzPfLlSH3fzQtHAht3SfRoWLUFWICl1 name="Avinu Malkeinu Janowski D minor (Bass).mp3" ext=.mp3 siblings=4 diff=[{"field":"normalizedName","was":"avinumalkeinujanowskidminorbassmp3","now":"avinumalkeinujanowskidminorbass"}]
RESTAMP   1FNvv9UToD9t1k4FqXhWPzb50naHZfo-T name="Niggun_Soprano.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"niggunsopranomp3","now":"niggunsoprano"}]
RESTAMP   1FZw5QmsYPhe2hNLnAz8CWD1yN0lruOXP name="Kedusha in Am (Soprano).mp3" ext=.mp3 siblings=3 diff=[{"field":"normalizedName","was":"kedushainamsopranomp3","now":"kedushainamsoprano"}]
RESTAMP   1G4DJBRKB_DwZXJ7yqeQVkRR-5-R7EvU9 name="Oseh shalom (S&P).pdf" ext=.pdf siblings=12 diff=[{"field":"normalizedName","was":"osehshalomsppdf","now":"osehshalomsp"}]
RESTAMP   1G4kvrAslYsUezK2fy696w8XUt3T-zEjR name="Unetaneh_Tokef_Soprano.mp3" ext=.mp3 siblings=1 diff=[{"field":"normalizedName","was":"unetanehtokefsopranomp3","now":"unetanehtokefsoprano"}]
RESTAMP   1GOBhTkfPUz1vg_dgbnwS7eNDNdPkRcCA name="May The Memory Choir.pdf" ext=.pdf siblings=1 diff=[{"field":"normalizedName","was":"maythememorychoirpdf","now":"maythememorychoir"}]
RESTAMP   1GpH741dvm8j8CQOPzHPE0w9b_7Sl2q6X name="kanfe yona.pdf" ext=.pdf siblings=1 diff=[{"field":"normalizedName","was":"kanfeyonapdf","now":"kanfeyona"}]
